address,suburb,latitude,longitude,charger_name
17-21 Cardigan Street,carlton,-37.8004228,144.9684343,
100 St Kilda Rd,southbank,-37.8253618,144.9640203,
30 Prohasky Street,port melbourne,-37.8333613,144.9219203,
Clarendon Street,south melbourne,-37.83344,144.9570533,
13 Stanton St,abbotsford,-37.8045508,144.9988542,
Swan Street,richmond,-37.80745,144.9907213,
Church Street,melbourne,-37.8142454,144.9631732,
Plumber Street,fishermans bend,-37.8245644,144.922933,
Barkly Street,brunswick,-37.7664715,144.9613103,
4 -6 Cross St,brunswick east,-37.7688802,144.9776825,
66-68 The Parade,ascot vale,-37.7753252,144.921825,
Moonee Ponds,,-37.8688729,145.2126338,
14 - 16 Hall St,moonee ponds,-37.765935,144.9192614,
164 Carlisle Street,st kilda,-37.8638261,144.981637,
Falmouth Street,hawthorn,-37.8244246,145.0317207,
290 Glenferrie Road,malvern,-37.8576088,145.0350666,
122 Wattletree Rd,armadale,-37.8563442,145.0193207,
90 Bell Street,coburg,-37.7449752,144.9643314,
793 Burke Road,camberwell,-37.8384623,145.0740767,
880 Dandenong Rd,malvern east,-37.876835,145.0658739,
301-307 Nepean Hwy,brighton east,-37.9171728,145.0163663,
145 Studley Road,heidelberg,-37.7524788,145.0701284,
11 Boundary Road,coburg north,-37.7272635,144.9678538,
563 Pascoe Vale Road,oak park,-37.7180181,144.9215041,
47 Willansby Ave,brighton,-37.9081962,144.9957991,
Grieve Parade,altona,-37.8671503,144.8294637,
99 Jukes Road,fawkner,-37.7146535,144.9605402,
29-35 Louis St,airport west,-37.7222576,144.8834942,
Dandenong Road,chadstone,-37.8822799,145.1001365,
Camp Road,campbellfield,-37.6641298,144.959583,
1 Horsburgh Drive,altona north,-37.8378229,144.8342853,
Bridge Street,hampton,-37.9381127,145.0014764,
Ailsa Street,box hill south,-37.8366236,145.1233644,
Fitzgerald Road,sunshine west,-37.7983442,144.8110919,
80 Taylors Road,keilor downs,-37.7205762,144.8047614,
Huntingdale Road,oakleigh south,-37.9248257,145.0921745,
76 Royal Ave,sandringham,-37.9502592,145.0043868,
Bay Road,cheltenham,-37.9670081,145.0546951,
19 Graduate Drive,bundoora,-37.6982468,145.0596757,
25 Main St,greensborough,-37.7037383,145.1079105,
Pacific Way,forest hill,-37.8362738,145.1690911,
28-72 Neale Road,deer park,-37.7686602,144.7713077,
354a Robinsons Rd,derrimut,-37.7987978,144.776051,
Balcolme Road,black rock,-37.9706564,145.0212822,
1 Scanlon Drive,epping,-37.6523847,145.0315487,
40 Brougham Street,eltham,-37.713736,145.147673,
235 Springvale Rd,glen waverley,-37.8795908,145.1622405,
274 Diamond Creek Road,diamond creek,-37.6733272,145.1588075,
Ballarat Road,caroline springs,-37.7340623,144.7370017,
410 Melton Highway,taylor lakes,,,
399 Melton Highway,sydenham,-37.6997223,144.7653295,
Dunnings Road,point cook,-37.9064862,144.7533059,
,ringwood,-37.8158726,145.2291113,
200 James Mirams Drive,roxburgh park,-37.6381563,144.9353302,
Princes Highway,sandown,-37.9503548,145.1665966,
83 Leakes Rd,tarneit,-37.8321522,144.69462,
Bay Trail,moordialloc,-38.0102322,145.0929673,
cnr Fulham Road & Stud Road,rowville,-37.9239267,145.2447672,
45 Princes Highway,werribee,-37.907984,144.6416748,
4 - 16 Devon Street,croydon,-37.7955004,145.2801507,
Cheltenham Road,keysborough,-38.0053607,145.1674069,
11/19 Trillium Boulevard,mickleham,-37.5344793,144.9120372,
Heatherton Rd & Stud Rd,dandenong north,-37.9558319,145.2143234,
Heatherton Road,dandenong,-37.98749,145.2147923,
Canterbury & Gatwick Road,kilsyth south,-37.8315054,145.3110008,
1 Swansea Rd,chelsea,-38.0497386,145.121407,
Fletcher Street,chirnside park,-37.9047634,144.6530424,
Shipwright Parade,harpley,-37.9110402,144.6113082,
27 Gap Road,sunbury,-37.5791363,144.7279832,
Cnr Astley Dr and Bridge Rd,cobblebank,-37.7125512,144.6040773,
460 - 462 Maroondah Highway,lilydale,-37.7571582,145.3458656,
179-253 Exford Road,weir views,-37.7323715,144.5708942,
1066 Frankston - Dandenong Rd,carrum downs,-38.1003312,145.1788657,
74A Church St,whittlesea,-37.5121301,145.1177321,
75S Lynbrook Boulevard,lynbrook,-38.0558639,145.2561128,
15 Beach Street,frankston,-38.150925,145.142239,
45 Bell St,yarra glen,-37.6573475,145.3743964,
South Gippsland Highway,cranbourne,-38.0997308,145.2807256,
1/3 St Huberts Road,coldstream,-37.7291014,145.378424,
Cranbourne-Frankston Road,cranbourne west,-38.102241,145.2517182,
Clyde Road,berwick,-38.0398297,145.3451089,
85 High Street,wallan,-37.5040691,145.1090152,
Matterhorn Drive ,clyde north,-38.1028681,145.3302814,
Cromwell Street,mornington,-38.227699,145.0609375,
Healsville - Yarra Glen Road,healsville,-37.6635261,145.4817549,
30 Peninsula Drive,curlewis,-37.8148997,145.1062282,
Victoria Street,macedon,-37.7726251,145.1131159,
50 Learmonth Street,queenscliff,-38.3363033,144.7453366,
Park Road,yarra junction,-37.7821693,145.6150255,
12 Sydney Street,kilmore,-37.6750485,144.9242188,
470-510 Princes Highway,corio,-37.9623312,145.1346687,
34 King Street,hastings,-38.3056058,145.1859934,
Grubb Rd,ocean grove,-38.170954,145.0972517,
Cnr Weir St & Point Nepean Road,rye,-38.3821684,144.8099264,
124 High Street,woodend,-37.7934621,144.5595902,
Weddell Road,geelong west,-37.8054508,144.879879,
4/100 Barwon Terrace,geelong,-37.8396934,145.008539,
113 High Street,broadford,-37.6362329,145.0265708,
8 Lewalan Street,grovedale,-37.8171289,145.0949242,
Province Blvd,highton,-37.8163364,145.0687942,
46 Central Boulevard,armstrong creek,-37.6289691,145.8640385,
Albert Street,trentham,-37.7000743,144.8908894,
33 Cook St,flinders,-38.473312,145.0187057,
High Street,bannockburn,-37.732231,145.1014989,
Chapel Street,cowes,-37.7092585,144.7872516,
1 Hutton Street,kyneton,-37.718862,145.0231115,
12 Wallace St,meredith,-37.7657176,145.1589446,
10 High St,yea,-37.4927455,145.1572676,
69 Anzac Ave,seymour,-38.0021533,145.0974829,
76 Vincent St,daylesford,-37.627671,145.0254821,
1 Mineral Springs Reserve Road,hepburn springs,-37.7481414,144.739508,
Queen Street,warragul,-37.6694522,144.9350241,
8 - 10 Webster Street,alexandra,-37.8212422,144.9736634,
6572 Maroondah Highway,yarck,-37.5772947,144.7161349,
Davies Street,ballarat,-37.8050281,144.9457629,
126 High Street ,heathcote,-37.7326399,144.733868,
Midland Highway,sebastopol,-37.8709314,145.0193037,
Jones Street,avenel,-37.8958126,144.6304628,
41-43 Albert Street,creswick,-37.8191777,145.0167539,
33 Forest St,castlemaine,-37.6303914,145.0273223,
7 High Street,harcourt,-37.8374349,145.1115353,
Pern Lane,leongatha,-38.1199326,145.3182716,
15 Mountjoy Parade,lorne,-37.6734151,145.0272333,
Lloyd Street,moe,-37.6132253,145.0980154,
Condon Street,bendigo,-37.720574,145.047976,
46 Kirkland Ave,euroa,-37.7639651,144.8287004,
144-158 Bromfield Street,colac,-38.0761008,145.1472438,
Station St,maryborough,-37.850401,144.5882783,
32 High Street,marong,-37.793821,144.5506713,
Station Road,foster,-37.5902461,144.9342136,
19 Willoby St,beaufort,-38.0067519,145.1779706,
Cnr Burke St & Wimmera Hwy,newbridge,-37.9715559,145.124582,
104 Hogan St,tatura,-38.1379689,145.1628252,
Davis St & George Street,heyfield,-37.8237397,144.7132186,
"77 Midland Hwy,",mooroopna,-37.7852115,144.5605697,
"8 Fraser St, ",shepparton,-37.7884948,144.5582739,
2 Bath Street,camperdown,-37.764834,144.8219857,
Denny Street,benalla,-37.8059585,144.9432551,
Storm Lane,inglewood,-37.7924237,144.5498933,
156 Grant Street,yarram,-38.1353489,145.1666795,
4 Purdy Ln,maffra,-37.6601922,144.9408062,
Canal Road,sale,-37.87076,145.65249,
438 High Street,echuca,-37.7821653,144.5503709,
62 High St,ararat,-38.0625563,145.5506248,
67 High St,wedderburn,-37.7917062,144.5494853,
Golden Street,st arnaud,-37.792199,144.5486025,
2 - 6 Docker St,wangaratta,-37.787905,144.5592084,
4994 Great Alpine RD,ovens,-37.8119107,144.8154073,
Skene Street,stawell,-38.1087492,145.2895959,
