site,longitude,latitude,charger_num,total_duration,total_volume,avg_power,perimeter,area
0,145.11107576199998,-37.68940260235,1,9027.793040293038,63233.856837606836,7.001624989114085,235.7579879026206,4330.089582011391
1,144.9263865,-37.7970088,1,11531.749999999996,253698.5,22.0,235.9593300226296,4336.389293330153
2,145.2798645,-37.7969198,1,3412.1048850574707,23884.734195402296,7.000000000000002,235.95916302567971,4336.3840690141205
3,144.9790394,-37.8481018,1,8759.999999999998,192720.0,22.000000000000004,236.0553282788066,4339.392275306621
4,145.010352201,-37.8127662263,1,6319.757583774249,139034.66684303348,22.000000000000004,235.9889091334805,4337.314622087413
5,145.1437916,-37.9280757,1,3765.0416666666656,82830.91666666667,22.000000000000004,236.2061075616245,4344.108028114083
6,144.969709835,-37.7407540365,1,12837.047619047615,92426.74285714286,7.200000000000001,235.85393012047848,4333.091715853488
7,144.970213602,-37.741088379,1,20105.616402116397,1005280.8201058201,50.0,235.85455563409636,4333.1112874517885
8,145.13310656,-37.9147588465,1,10358.237179487176,227881.2179487179,22.000000000000004,236.18095667891257,4343.321486159583
9,145.111186384,-37.8443555319,1,17565.886111111107,386449.4944444445,22.0,236.04828070946976,4339.171830493657
10,144.920987406,-37.7236235654,1,9598.833333333328,211174.3333333333,22.000000000000004,235.82189580218943,4332.089376038051
11,145.1659471255,-37.6737003463,1,4304.666666666665,94702.66666666667,22.000000000000007,235.72870213023387,4329.173113065222
12,145.04851985,-37.8454884,2,30835.997274706453,376150.0400435419,14.600000000000001,252.8207534805991,4910.23475378903
13,145.131922241,-37.9081282824,1,12879.301587301583,283344.6349206349,22.000000000000004,236.168440401729,4342.930054414704
14,145.102327214,-37.70229521,1,20721.70833333333,455877.5833333334,22.0,235.78205149913623,4330.842598081527
15,144.776113513,-37.7519664785,1,18452.011452241713,406162.4186159843,22.0053754168104,235.8749131742005,4333.748240367153
16,145.163750069,-37.8349550352,1,13031.464285714283,286692.21428571426,22.000000000000004,236.03060236227824,4338.618849515526
17,144.9595931,-37.8158872,1,3901.458333333332,85832.08333333333,22.000000000000004,235.9947705797437,4337.49798192746
18,145.0564007,-37.8288881,1,2767.6950549450544,12454.627747252747,4.500000000000001,236.01919765154813,4338.262100949216
19,145.190599474,-37.9365950862,1,15742.82804232804,346782.21693121694,22.02591433487695,236.2222069182292,4344.611486805729
20,144.925763704,-37.8283249067,1,15350.851006553645,383771.27516384114,25.0,236.018139135843,4338.228989394176
21,145.24536438533335,-37.87131771546667,1,24486.249999999993,538697.5,22.0,236.0990334725033,4340.759302341149
22,144.9229537,-37.7660288,1,5765.958333333331,126851.0833333333,22.000000000000004,235.9012469380142,4334.572150402267
23,145.005075635,-37.7401084915,1,10207.999999999998,71455.99999999999,7.0,235.8527224175009,4333.053928239634
24,145.0685473,-37.7591293,1,4506.166666666665,99135.66666666667,22.000000000000007,235.88832418735893,4334.167837625949
25,144.992379382,-37.8481433149,1,10591.583333333332,233014.83333333334,22.000000000000007,236.05540638481128,4339.394718413176
26,144.924002059,-37.7085048149,1,9517.83333333333,104696.16666666666,11.000000000000002,235.7936473043096,4331.205452971178
27,145.1227132,-38.1435406,1,3089.033088235293,67958.72794117646,22.000000000000004,236.6154956668269,4356.906659362215
28,145.164989,-37.875897,1,11478.300417175415,80348.10292022792,7.0,236.10766049899507,4341.029131092308
29,145.01071494425,-37.813007983075,1,17595.316239316235,387507.6239316239,22.049485861182525,235.98936313939907,4337.328824511793
30,145.030600394,-37.767083915,1,13842.723015138126,1107417.8412110503,80.00000000000001,235.903223578724,4334.633992658171
31,145.0826588,-37.8861421,1,5429.833333333332,38008.833333333336,7.0,236.12696899183416,4341.63303301222
32,144.935202959,-37.8224143844,1,11704.845759332577,257506.60670531672,22.0,236.007032266525,4337.881551160565
