time,temp,feelslike,humidity,dew,precip,snow,snowdepth,preciptype,windgust,windspeed,winddir,pressure,visibility,cloudcover,solarradiation,solarenergy,uvindex,conditions
2023/4/1 0:00,13.4,13.4,70.29,8.1,0,0,0,,22,9.4,268,1017.9,30,29.2,0,0,0,2
2023/4/1 1:00,12.8,12.8,71.7,7.8,0,0,0,,20.5,9.2,269,1017.9,10,51.2,0,0,0,2
2023/4/1 2:00,12.4,12.4,77.05,8.5,0,0,0,,19.8,9.3,278,1017.8,10,48.7,0,0,0,2
2023/4/1 3:00,12,12,85.88,9.7,0.912,0,0,['rain'],19.1,9.4,250,1017.9,5.2,98,0,0,0,5
2023/4/1 4:00,11.6,11.6,83.48,8.9,0,0,0,,17.6,9.2,174,1017.9,10,70.7,0,0,0,2
2023/4/1 5:00,11.5,11.5,86.99,9.4,0,0,0,,18.4,2.3,278,1017.6,10,95.3,0,0,0,1
2023/4/1 6:00,11.4,11.4,96.71,10.9,0,0,0,,19.4,0.7,279,1017.7,20,88.5,0,0,0,2
2023/4/1 7:00,11.3,11.3,97.35,10.9,0,0,0,,19.1,0.7,250,1018.3,0,100,0,0,0,1
2023/4/1 8:00,11.5,11.5,87.69,9.5,0,0,0,,21.2,0.6,179,1019,10,100,28,0.1,0,1
2023/4/1 9:00,13.1,13.1,76.32,9,0.011,0,0,['rain'],25.2,9.5,146,1019.5,30,98,84,0.3,1,5
2023/4/1 10:00,14.4,14.4,61,7,0,0,0,,33.1,12.9,155,1020,0,49.9,274,1,3,2
2023/4/1 11:00,15,15,50.51,4.8,0,0,0,,41,13.4,178,1020.3,0,68.2,297,1.1,3,2
2023/4/1 12:00,14.5,14.5,59.81,6.8,0,0,0,,41,15.4,161,1020.4,30,96.1,183,0.7,2,1
2023/4/1 13:00,14.8,14.8,60.42,7.2,0,0,0,,40.3,13.6,169,1020.4,10,95.9,225,0.8,2,1
2023/4/1 14:00,13.2,13.2,72.05,8.3,0,0,0,,40.7,10.6,159,1020.2,10,97.4,269,1,3,1
2023/4/1 15:00,14.7,14.7,61.61,7.4,0.183,0,0,['rain'],40.7,13.4,197,1019.9,30,98,317,1.1,3,5
2023/4/1 16:00,14.7,14.7,57.66,6.4,0,0,0,,38.9,13.2,169,1019.8,0,89.2,226,0.8,2,2
