Suburb,Cluster,Peak_Price,Standard_Price,Offpeak_Price,Average_Price
brunswick (north),0,6.14,4.73,3.78,4.85
brunswick (south),0,6.14,4.73,3.78,4.85
east melbourne,0,6.14,4.73,3.78,4.85
melbourne airport,0,6.14,4.73,3.78,4.85
melbourne cbd (east),0,6.14,4.73,3.78,4.85
melbourne cbd (north),0,6.14,4.73,3.78,4.85
melbourne cbd (west),0,6.14,4.73,3.78,4.85
north melbourne,0,6.14,4.73,3.78,4.85
point cook (east),0,6.14,4.73,3.78,4.85
point cook (north east),0,6.14,4.73,3.78,4.85
point cook (north west),0,6.14,4.73,3.78,4.85
point cook (south),0,6.14,4.73,3.78,4.85
port melbourne,0,6.14,4.73,3.78,4.85
port melbourne industrial,0,6.14,4.73,3.78,4.85
richmond (north),0,6.14,4.73,3.78,4.85
richmond (south) cremorne,0,6.14,4.73,3.78,4.85
south melbourne,0,6.14,4.73,3.78,4.85
tarneit (central),0,6.14,4.73,3.78,4.85
tarneit (north),0,6.14,4.73,3.78,4.85
tarneit (south),0,6.14,4.73,3.78,4.85
tarneit (west) mount cottrell,0,6.14,4.73,3.78,4.85
werribee (east),0,6.14,4.73,3.78,4.85
werribee (south),0,6.14,4.73,3.78,4.85
werribee (west),0,6.14,4.73,3.78,4.85
west melbourne (residential),0,6.14,4.73,3.78,4.85
abbotsford,1,6.14,4.73,3.78,4.85
airport west,1,6.14,4.73,3.78,4.85
albert park,1,6.14,4.73,3.78,4.85
alphington fairfield,1,6.14,4.73,3.78,4.85
altona,1,6.14,4.73,3.78,4.85
altona meadows,1,6.14,4.73,3.78,4.85
altona north,1,6.14,4.73,3.78,4.85
ardeer albion,1,6.14,4.73,3.78,4.85
armadale,1,6.14,4.73,3.78,4.85
ascot vale,1,6.14,4.73,3.78,4.85
ashburton,1,6.14,4.73,3.78,4.85
ashwood chadstone,1,6.14,4.73,3.78,4.85
aspendale gardens waterways,1,6.14,4.73,3.78,4.85
avondale heights,1,6.14,4.73,3.78,4.85
balwyn,1,6.14,4.73,3.78,4.85
balwyn north,1,6.14,4.73,3.78,4.85
bayswater,1,6.14,4.73,3.78,4.85
bayswater north,1,6.14,4.73,3.78,4.85
beaconsfield officer,1,6.14,4.73,3.78,4.85
beaumaris,1,6.14,4.73,3.78,4.85
belgrave selby,1,6.14,4.73,3.78,4.85
bentleigh east (north),1,6.14,4.73,3.78,4.85
bentleigh east (south),1,6.14,4.73,3.78,4.85
bentleigh mckinnon,1,6.14,4.73,3.78,4.85
berwick (north),1,6.14,4.73,3.78,4.85
berwick (south east),1,6.14,4.73,3.78,4.85
berwick (south west),1,6.14,4.73,3.78,4.85
blackburn,1,6.14,4.73,3.78,4.85
blackburn south,1,6.14,4.73,3.78,4.85
boronia,1,6.14,4.73,3.78,4.85
box hill,1,6.14,4.73,3.78,4.85
box hill north,1,6.14,4.73,3.78,4.85
braeside,1,6.14,4.73,3.78,4.85
braybrook,1,6.14,4.73,3.78,4.85
brighton,1,6.14,4.73,3.78,4.85
brighton east,1,6.14,4.73,3.78,4.85
broadmeadows,1,6.14,4.73,3.78,4.85
brookfield,1,6.14,4.73,3.78,4.85
brunswick east,1,6.14,4.73,3.78,4.85
brunswick west,1,6.14,4.73,3.78,4.85
bulleen,1,6.14,4.73,3.78,4.85
bundoora (east),1,6.14,4.73,3.78,4.85
bundoora (north),1,6.14,4.73,3.78,4.85
bundoora (west),1,6.14,4.73,3.78,4.85
burnside,1,6.14,4.73,3.78,4.85
burnside heights,1,6.14,4.73,3.78,4.85
burwood,1,6.14,4.73,3.78,4.85
burwood east,1,6.14,4.73,3.78,4.85
cairnlea,1,6.14,4.73,3.78,4.85
camberwell,1,6.14,4.73,3.78,4.85
campbellfield coolaroo,1,6.14,4.73,3.78,4.85
carlton,1,6.14,4.73,3.78,4.85
carlton north princes hill,1,6.14,4.73,3.78,4.85
carnegie,1,6.14,4.73,3.78,4.85
caroline springs,1,6.14,4.73,3.78,4.85
carrum downs,1,6.14,4.73,3.78,4.85
carrum patterson lakes,1,6.14,4.73,3.78,4.85
caulfield (north),1,6.14,4.73,3.78,4.85
caulfield (south),1,6.14,4.73,3.78,4.85
chelsea bonbeach,1,6.14,4.73,3.78,4.85
chelsea heights,1,6.14,4.73,3.78,4.85
chirnside park,1,6.14,4.73,3.78,4.85
clarinda oakleigh south,1,6.14,4.73,3.78,4.85
clayton (central),1,6.14,4.73,3.78,4.85
clayton (north) notting hill,1,6.14,4.73,3.78,4.85
clayton south,1,6.14,4.73,3.78,4.85
clifton hill alphington,1,6.14,4.73,3.78,4.85
clyde north (north),1,6.14,4.73,3.78,4.85
clyde north (south),1,6.14,4.73,3.78,4.85
coburg (east),1,6.14,4.73,3.78,4.85
coburg north,1,6.14,4.73,3.78,4.85
coburg (west),1,6.14,4.73,3.78,4.85
collingwood,1,6.14,4.73,3.78,4.85
craigieburn (central),1,6.14,4.73,3.78,4.85
craigieburn (north),1,6.14,4.73,3.78,4.85
craigieburn (north west),1,6.14,4.73,3.78,4.85
craigieburn (south),1,6.14,4.73,3.78,4.85
craigieburn (west),1,6.14,4.73,3.78,4.85
cranbourne,1,6.14,4.73,3.78,4.85
cranbourne east (north),1,6.14,4.73,3.78,4.85
cranbourne east (south),1,6.14,4.73,3.78,4.85
cranbourne north (east),1,6.14,4.73,3.78,4.85
cranbourne north (west),1,6.14,4.73,3.78,4.85
cranbourne south,1,6.14,4.73,3.78,4.85
cranbourne west,1,6.14,4.73,3.78,4.85
croydon (east),1,6.14,4.73,3.78,4.85
croydon hills warranwood,1,6.14,4.73,3.78,4.85
croydon south,1,6.14,4.73,3.78,4.85
croydon (west),1,6.14,4.73,3.78,4.85
dandenong north,1,6.14,4.73,3.78,4.85
dandenong (north),1,6.14,4.73,3.78,4.85
dandenong (south),1,6.14,4.73,3.78,4.85
deer park,1,6.14,4.73,3.78,4.85
delahey,1,6.14,4.73,3.78,4.85
derrimut,1,6.14,4.73,3.78,4.85
diggers rest,1,6.14,4.73,3.78,4.85
dingley village,1,6.14,4.73,3.78,4.85
docklands,1,6.14,4.73,3.78,4.85
doncaster,1,6.14,4.73,3.78,4.85
doncaster east (north),1,6.14,4.73,3.78,4.85
doncaster east (south),1,6.14,4.73,3.78,4.85
donvale park orchards,1,6.14,4.73,3.78,4.85
doreen (north),1,6.14,4.73,3.78,4.85
doreen (south),1,6.14,4.73,3.78,4.85
doveton,1,6.14,4.73,3.78,4.85
dromana,1,6.14,4.73,3.78,4.85
edithvale aspendale,1,6.14,4.73,3.78,4.85
elsternwick,1,6.14,4.73,3.78,4.85
eltham,1,6.14,4.73,3.78,4.85
elwood,1,6.14,4.73,3.78,4.85
emerald cockatoo,1,6.14,4.73,3.78,4.85
endeavour hills (north),1,6.14,4.73,3.78,4.85
endeavour hills (south),1,6.14,4.73,3.78,4.85
epping (east),1,6.14,4.73,3.78,4.85
epping (south),1,6.14,4.73,3.78,4.85
epping (west),1,6.14,4.73,3.78,4.85
essendon airport,1,6.14,4.73,3.78,4.85
essendon (east),1,6.14,4.73,3.78,4.85
essendon (west) aberfeldie,1,6.14,4.73,3.78,4.85
fawkner,1,6.14,4.73,3.78,4.85
ferntree gully (north),1,6.14,4.73,3.78,4.85
ferntree gully (south) upper ferntree gully,1,6.14,4.73,3.78,4.85
fitzroy,1,6.14,4.73,3.78,4.85
fitzroy north,1,6.14,4.73,3.78,4.85
flemington,1,6.14,4.73,3.78,4.85
flemington racecourse,1,6.14,4.73,3.78,4.85
footscray,1,6.14,4.73,3.78,4.85
forest hill,1,6.14,4.73,3.78,4.85
frankston,1,6.14,4.73,3.78,4.85
frankston north,1,6.14,4.73,3.78,4.85
frankston south,1,6.14,4.73,3.78,4.85
fraser rise plumpton,1,6.14,4.73,3.78,4.85
gladstone park westmeadows,1,6.14,4.73,3.78,4.85
glen iris (east),1,6.14,4.73,3.78,4.85
glenroy (east),1,6.14,4.73,3.78,4.85
glenroy (west),1,6.14,4.73,3.78,4.85
glen waverley (east),1,6.14,4.73,3.78,4.85
glen waverley (west),1,6.14,4.73,3.78,4.85
gowanbrae,1,6.14,4.73,3.78,4.85
greensborough,1,6.14,4.73,3.78,4.85
greenvale bulla,1,6.14,4.73,3.78,4.85
hadfield,1,6.14,4.73,3.78,4.85
hallam,1,6.14,4.73,3.78,4.85
hampton,1,6.14,4.73,3.78,4.85
hampton park (east),1,6.14,4.73,3.78,4.85
hampton park (west),1,6.14,4.73,3.78,4.85
hastings somers,1,6.14,4.73,3.78,4.85
hawthorn east,1,6.14,4.73,3.78,4.85
hawthorn (north),1,6.14,4.73,3.78,4.85
