LOCATION,REGION,LEAD_ORGAN,LATITUDE,ESTIMATED_,ADDRESS,PLUG_TYPE,LONGITUDE,CHARGERS,NEARBY_AME,DCAV_SITE,COMPANY,PLUGSHARE_,NUMBER_OF_,longitude,latitude
Tatura,Hume,Tatura Carwash,-36.44025958,,"104 Hogan Street, TATURA VIC 3614","1 x CCS2, 1 x CHAdeMO",145.22606112,1 x 25kW Charger,"Park, Playground, Public Toilets, Accommodation, Dining, Shopping, Museum",NO,Tatura Carwash,https://www.plugshare.com/location/428162,1.0,145.22606112000005,-36.440259579999974
Invermay,Grampians,Midlands Golf and Bowls Club,-37.52782149,,"Midlands Golf and Bowls Club, Heinz Lane, INVERMAY VIC 3350",3 x Type 2,143.85749134,3 x 22kW Charger,"Park, Playground, Public Toilets, Recreation Reserve, Bushland Reserve, Shopping, Dining, Supermarket, Accommodation",NO,Midlands Golf and Bowls Club,https://www.plugshare.com/location/498278,3.0,143.85749134000002,-37.52782148999995
Moe,Gippsland,,-38.18448829,,"211 Lloyd St, MOE, VIC 3825",2 x CHAdeMO and 4 x CCS2/SAE,146.23774702,"1 x 350kW Ultra Rapid Chargers, 2 x 50kW Fast Chargers",,NO,Chargefox,https://www.plugshare.com/location/216032,3.0,146.23774702000003,-38.18448828999993
Euroa,Hume,,-36.7426939,,"167 Tarcombe St, EUROA, VIC, 3666",4 x CHAdeMO and 4 x CCS2/SAE,145.59148409,"2 x 350kW Ultra Rapid Chargers, 2 x 50kW Fast Chargers",,NO,Chargefox,https://www.plugshare.com/location/168166,4.0,145.5914840900001,-36.74269389999995
Barnawartha North,Hume,,-36.06928001,,"1778 Murray Valley Hwy, BARNAWARTHA NORTH VIC 3691",4 x CHAdeMO and 4 x CCS2/SAE,146.72601676,"2 x 350kW Ultra Rapid Chargers, 2 x 50kW Fast Chargers",,NO,Chargefox,https://www.plugshare.com/location/185988,4.0,146.7260167600001,-36.06928000999994
Airport West,Port Phillip,,-37.71423527,,"29-35 Louis St, AIRPORT WEST VIC 3042",6 x CHAdeMO and 2 x CCS2/SAE,144.88602331,"2 x 350kW Ultra Rapid Chargers, 2 x 50kW Fast Chargers",,NO,Chargefox,https://www.plugshare.com/location/195205,4.0,144.88602331000004,-37.71423526999996
Leongatha,Gippsland,South Gippsland Shire Council,-38.47561889,November 2023,"Council Office and Public Carpark, 9 Smith Street, LEONGATHA VIC 3953","1 x CCS2, 1 x CHAdeMO",145.94495803,1 x 60kW Fast Charger,"Park, Playground, Public Toilets, Wetlands, Recreation Reserve, Dining, Shopping, Accommodation, Supermarket",NO,South Gippsland Shire Council,https://www.plugshare.com/location/539833,1.0,145.94495803000007,-38.475618889999964
Korumburra,Gippsland,South Gippsland Shire Council,-38.43248309,December 2023,"Town Centre Carpark, 24 Commercial Street, KORUMBURRA VIC 3950","1 x CCS2, 1 x CHAdeMO",145.82462257,1 x 60kW Fast Charger,"Park, Playground, Public Toilets, Tourist Park, Botanic Park, Dining, Shopping, Accommodation, Supermarket",NO,South Gippsland Shire Council,https://www.plugshare.com/location/539841,1.0,145.8246225700001,-38.43248308999995
Glen Waverley,Port Phillip,City of Monash,-37.88227576,,"112 Kingsway, GLEN WAVERLEY VIC 3150",2 x Type 2,145.16385293,1 x 22kW Charger,"Park, Playground, Off-Leash Dog Park, Dining, Shopping, Aquatic and Recreation Centre, Accommodation, Public Toilets, Supermarket",NO,,https://www.plugshare.com/location/472258,1.0,145.16385293000008,-37.88227575999997
Glen Waverley,Port Phillip,City of Monash,-37.87858613,,"Euneva Car Park, GLEN WAVERLEY VIC 3150",2 x Type 2,145.16247276,1 x 22kW Charger,"Park, Playground, Off-Leash Dog Park, Dining, Shopping, Aquatic and Recreation Centre, Accommodation, Public Toilets, Supermarket",NO,,https://www.plugshare.com/location/480458,1.0,145.16247276,-37.878586129999974
